id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
212783,Haight Ashbury Experience Room 1,1032643,Josh,,Haight Ashbury,37.771078858413105,-122.44941835017579,Private room,98,2,254,2017-07-24,3.54,6,319
10944402,Spacious Bright Apartment in NOPA,730606,Shahed,,Haight Ashbury,37.77352284045055,-122.45162659209342,Private room,195,1,0,,,1,0
2965351,2 BR Cole Valley Flat,15130772,Lora,,Haight Ashbury,37.762502172387556,-122.44936000843806,Entire home/apt,220,3,24,2017-04-16,0.64,1,0
16362304,Best Master Suite in Town,36381578,Harris,,Seacliff,37.77984146441704,-122.50548312470745,Private room,85,3,20,2017-07-29,3.03,3,158
929796,Cozy one bedroom apartment available,5006769,Tory,,Seacliff,37.78454705636204,-122.48826967058572,Entire home/apt,150,2,3,2013-07-29,0.06,1,0
9904485,Great Room!,13046907,John,,Seacliff,37.78548685790055,-122.48801127129538,Private room,195,1,0,,,2,0
1931937,Blocks from GG Park & Ocean Beach,7932270,Noam,,Seacliff,37.78156408540695,-122.49442445483002,Private room,95,3,54,2017-07-07,1.27,2,57
19745324,Super Fabulous Mansion!,5569348,Sako,,Seacliff,37.786480980835925,-122.48868251483614,Entire home/apt,550,3,1,2017-07-22,1,1,145
18396762,Bliss Sanctuary Rejuvenation Home,5684789,Chinnamasta,,Seacliff,37.78161681440637,-122.49543499191412,Entire home/apt,180,3,8,2017-07-09,3.58,1,69
11187767,Huge Seacliff Penthouse With Views,58242037,Jonathan,,Seacliff,37.77968470054454,-122.51047169622683,Entire home/apt,370,2,11,2017-07-16,0.66,1,142
9824673,STUNNING HOUSE BY OCEAN BEACH -Long term 30+ days!,49499644,Denise,,Seacliff,37.7818035372149,-122.50732741471818,Entire home/apt,185,30,5,2016-09-08,0.30,1,331
18022892,Pacific Ocean Retreat - Perfect for Outside Lands!,123931387,Milena,,Seacliff,37.780375249572,-122.50590289680045,Entire home/apt,169,6,2,2017-05-30,0.72,1,167
2134100,Ocean Beach hilltop cottage (30 day rental or more,10889606,Marty And Alexis,,Seacliff,37.78388809323231,-122.50855676227975,Entire home/apt,115,30,253,2017-06-15,5.91,1,336
